dataset,graphs,unique_clusters,avg_coverage,min_coverage,max_coverage,avg_nodes,avg_edges,avg_positive_edge_ratio
test_unweighted_contam_0.00,900,300,20.0,20.0,20.0,161.78555297851562,490.413330078125,0.6014965772628784
test_weighted_contam_0.00,897,299,20.0,20.0,20.0,117.93868255615234,350.2842712402344,0.8354993462562561
test_unweighted_contam_0.05,900,300,20.0,20.0,20.0,157.3622283935547,476.3888854980469,0.6189737915992737
test_weighted_contam_0.05,897,299,20.0,20.0,20.0,115.94091796875,343.7870788574219,0.8503435850143433
test_unweighted_contam_0.10,900,300,20.0,20.0,20.0,152.7888946533203,461.4022216796875,0.6384810209274292
test_weighted_contam_0.10,897,299,20.0,20.0,20.0,114.21516418457031,338.3511657714844,0.8630112409591675
test_unweighted_contam_0.20,900,300,20.0,20.0,20.0,146.23666381835938,439.5955505371094,0.6707742810249329
test_weighted_contam_0.20,897,299,20.0,20.0,20.0,111.5864028930664,329.86956787109375,0.8819745182991028
test_unweighted_contam_0.30,899,300,20.0,20.0,20.0,138.60845947265625,414.9232482910156,0.7098497748374939
test_weighted_contam_0.30,895,299,20.0,20.0,20.0,108.0804443359375,318.7206726074219,0.9075151681900024
