loss,precision,recall,edge_f1,model,contamination_rate
0.010893154233872236,0.9538334993978473,0.997237575527594,0.9743036595170189,Read-weighted MPNN,0.0
0.007684850163300624,0.9826870993924695,0.9878286541196976,0.9849799215161434,Read-weighted MPNN+ReadAux,0.0
0.010746080798396453,0.9540014298863093,0.9974419378712827,0.9744755100531296,Read-weighted MPNN,0.05
0.007785875172113825,0.9833703955805624,0.9871921088531564,0.9849920824359373,Read-weighted MPNN+ReadAux,0.05
0.011129961162389441,0.9547288410504445,0.9974258699701265,0.9748660879869766,Read-weighted MPNN,0.1
0.008603438888563797,0.9825488171388981,0.9862085174214945,0.9840628553683373,Read-weighted MPNN+ReadAux,0.1
0.011629762820847947,0.9528372935964616,0.9969127245107012,0.9736157699129445,Read-weighted MPNN,0.2
0.008624335786351989,0.9813515645094405,0.9861871235850185,0.983426086133773,Read-weighted MPNN+ReadAux,0.2
0.012877641341208536,0.953336981749814,0.9970789648736456,0.9738693809360148,Read-weighted MPNN,0.3
0.009970601432205664,0.9803124855262757,0.9850421499775324,0.9822735930692958,Read-weighted MPNN+ReadAux,0.3
