method,contamination_rate,srr_100,srr_1000,delta_srr,brr_100,brr_1000,delta_brr,avged_100,avged_1000,delta_avged
Read-weighted MPNN Beam,0.0,0.9130434782608695,0.9163879598662207,0.0033444816053511683,0.9954089388871997,0.9945880206749772,-0.0008209182122225211,0.5050167224080268,0.5953177257525084,0.09030100334448166
Read-weighted MPNN Beam,0.05,0.9096989966555183,0.9130434782608695,0.0033444816053511683,0.9932502280328368,0.9933414411675281,9.121313469129255e-05,0.7424749163879598,0.7324414715719063,-0.010033444816053505
Read-weighted MPNN Beam,0.1,0.8963210702341137,0.9163879598662207,0.02006688963210701,0.9940711462450593,0.9941319550015202,6.08087564608617e-05,0.6521739130434783,0.6454849498327759,-0.006688963210702337
Read-weighted MPNN Beam,0.2,0.8762541806020067,0.882943143812709,0.006688963210702337,0.9798723016114321,0.9764670112496201,-0.00340529036181203,2.2140468227424748,2.588628762541806,0.3745819397993313
Read-weighted MPNN Beam,0.3,0.8260869565217391,0.8394648829431438,0.013377926421404673,0.9763453937366982,0.9731833384007298,-0.003162055335968361,2.6020066889632107,2.9498327759197323,0.3478260869565215
Read-weighted MPNN+ReadAux Beam,0.0,0.903010033444816,0.9264214046822743,0.02341137123745829,0.9937062937062937,0.9947096381878989,0.0010033444816052173,0.6923076923076923,0.5819397993311036,-0.11036789297658867
Read-weighted MPNN+ReadAux Beam,0.05,0.9063545150501672,0.919732441471572,0.013377926421404784,0.9932198236546064,0.9933718455457585,0.00015202189115215425,0.745819397993311,0.7290969899665551,-0.01672240802675584
Read-weighted MPNN+ReadAux Beam,0.1,0.8929765886287625,0.9230769230769231,0.030100334448160626,0.9940711462450593,0.994375190027364,0.0003040437823046416,0.6521739130434783,0.6187290969899666,-0.03344481605351168
Read-weighted MPNN+ReadAux Beam,0.2,0.8729096989966555,0.882943143812709,0.010033444816053505,0.9798723016114321,0.9764670112496201,-0.00340529036181203,2.2140468227424748,2.588628762541806,0.3745819397993313
Read-weighted MPNN+ReadAux Beam,0.3,0.8193979933110368,0.8461538461538461,0.026755852842809347,0.9762845849802373,0.9758285193067803,-0.00045606567345701787,2.608695652173913,2.6588628762541804,0.0501672240802673
